Algorithms,.github/workflows/check.yml,8,mvn install,Algorithms_check-build.csv,target/site/,{'org.apache.maven.plugins#maven-site-plugin': 0.269},1
Algorithms,.github/workflows/check.yml,8,mvn install,Algorithms_check-build.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
JSqlParser,.github/workflows/maven.yml,11,mvn -B package,JSqlParser_maven-build_java_11.csv,target/site/,{'org.apache.maven.plugins#maven-site-plugin': 0.269},1
JSqlParser,.github/workflows/maven.yml,11,mvn -B package,JSqlParser_maven-build_java_11.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
JSqlParser,.github/workflows/maven.yml,8,mvn -B package,JSqlParser_maven-build_java_8.csv,target/site/,{'org.apache.maven.plugins#maven-site-plugin': 0.269},1
JSqlParser,.github/workflows/maven.yml,8,mvn -B package,JSqlParser_maven-build_java_8.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
Mybatis-PageHelper,.github/workflows/pull-request.yml,8,mvn --batch-mode --update-snapshots -P dev verify,Mybatis-PageHelper_pull-request-mvnverify.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
UniversalMediaServer,.github/workflows/ci.yaml,17,mvn verify -P testing,UniversalMediaServer_ci.yaml-linuxbionic_java-version_17.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
UniversalMediaServer,.github/workflows/ci.yaml,17,mvn verify -P testing,UniversalMediaServer_ci.yaml-linuxfocal_java-version_17.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
cucumber-java-skeleton,.github/workflows/build.yml,11,./mvnw test -Dmaven.test.failure.ignore,cucumber-java-skeleton_build-build.csv-[NOT-MAVEN],target/surefire-reports/
fabric-sdk-java,.github/workflows/build.yml,11,mvn -B clean install -DskipITs=false -Dmaven.test.failure.ignore=false javadoc:javadoc,fabric-sdk-java_build-test_java-version_11.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
fabric-sdk-java,.github/workflows/build.yml,17,mvn -B clean install -DskipITs=false -Dmaven.test.failure.ignore=false javadoc:javadoc,fabric-sdk-java_build-test_java-version_17.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
fabric-sdk-java,.github/workflows/build.yml,8,mvn -B clean install -DskipITs=false -Dmaven.test.failure.ignore=false javadoc:javadoc,fabric-sdk-java_build-test_java-version_8.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301},1
github-api,.github/workflows/codeql-analysis.yml,11,mvn clean package,github-api_codeql-analysis-analyze_language_java.csv,target/test-classes/,{},0
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_11.csv,target/cache/,{},0
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_11.csv,target/japicmp/,{'com.github.siom79.japicmp#japicmp-maven-plugin': 0.576},1
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_11.csv,target/site/,{'org.jacoco#maven-site-plugin': 0.367},1
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_11.csv,target/surefire-reports/,{'maven-surefire-plugin': 0.301, 'org.apache.bcel#maven-project-info-reports-plugin': 0.177},2
github-api,.github/workflows/maven-build.yml,11,mvn -B clean,github-api_maven-build-site_java_11.csv,target/site/,{'org.jacoco#maven-site-plugin': 0.367},1
github-api,.github/workflows/maven-build.yml,17,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_17.csv,target/cache/,{},0
