"Algorithms,.github/workflows/check.yml,8,mvn install,Algorithms_check-build.csv",target/site/,"['maven-clean-plugin', 'maven-resources-plugin', 'maven-jar-plugin', 'maven-compiler-plugin', 'maven-surefire-plugin', 'maven-install-plugin', 'maven-deploy-plugin', 'org.apache.maven.plugins#maven-site-plugin']",8
"Algorithms,.github/workflows/check.yml,8,mvn install,Algorithms_check-build.csv",target/surefire-reports/,"['maven-clean-plugin', 'maven-resources-plugin', 'maven-jar-plugin', 'maven-compiler-plugin', 'maven-surefire-plugin', 'maven-install-plugin', 'maven-deploy-plugin', 'org.apache.maven.plugins#maven-site-plugin']",8
"JSqlParser,.github/workflows/maven.yml,11,mvn -B package,JSqlParser_maven-build_java_11.csv",target/site/,"['net.sourceforge.pmd#maven-pmd-plugin', 'org.codehaus.mojo#build-helper-maven-plugin', 'maven-compiler-plugin', 'org.javacc.plugin#javacc-maven-plugin', 'maven-eclipse-plugin', 'maven-resources-plugin', 'org.codehaus.mojo#license-maven-plugin', 'org.apache.maven.scm#maven-release-plugin', 'maven-source-plugin', 'maven-javadoc-plugin', 'org.apache.maven.plugins#maven-site-plugin', 'org.eluder.coveralls#coveralls-maven-plugin', 'org.codehaus.mojo#cobertura-maven-plugin', 'org.apache.felix#maven-bundle-plugin', 'maven-surefire-plugin', 'org.jacoco#jacoco-maven-plugin', 'com.puppycrawl.tools#maven-checkstyle-plugin', 'maven-clean-plugin', 'maven-install-plugin', 'maven-deploy-plugin']",20
"JSqlParser,.github/workflows/maven.yml,11,mvn -B package,JSqlParser_maven-build_java_11.csv",target/surefire-reports/,"['net.sourceforge.pmd#maven-pmd-plugin', 'org.codehaus.mojo#build-helper-maven-plugin', 'maven-compiler-plugin', 'org.javacc.plugin#javacc-maven-plugin', 'maven-eclipse-plugin', 'maven-resources-plugin', 'org.codehaus.mojo#license-maven-plugin', 'org.apache.maven.scm#maven-release-plugin', 'maven-source-plugin', 'maven-javadoc-plugin', 'org.apache.maven.plugins#maven-site-plugin', 'org.eluder.coveralls#coveralls-maven-plugin', 'org.codehaus.mojo#cobertura-maven-plugin', 'org.apache.felix#maven-bundle-plugin', 'maven-surefire-plugin', 'org.jacoco#jacoco-maven-plugin', 'com.puppycrawl.tools#maven-checkstyle-plugin', 'maven-clean-plugin', 'maven-install-plugin', 'maven-deploy-plugin']",20
"JSqlParser,.github/workflows/maven.yml,8,mvn -B package,JSqlParser_maven-build_java_8.csv",target/site/,"['net.sourceforge.pmd#maven-pmd-plugin', 'org.codehaus.mojo#build-helper-maven-plugin', 'maven-compiler-plugin', 'org.javacc.plugin#javacc-maven-plugin', 'maven-eclipse-plugin', 'maven-resources-plugin', 'org.codehaus.mojo#license-maven-plugin', 'org.apache.maven.scm#maven-release-plugin', 'maven-source-plugin', 'maven-javadoc-plugin', 'org.apache.maven.plugins#maven-site-plugin', 'org.eluder.coveralls#coveralls-maven-plugin', 'org.codehaus.mojo#cobertura-maven-plugin', 'org.apache.felix#maven-bundle-plugin', 'maven-surefire-plugin', 'org.jacoco#jacoco-maven-plugin', 'com.puppycrawl.tools#maven-checkstyle-plugin', 'maven-clean-plugin', 'maven-install-plugin', 'maven-deploy-plugin']",20
"JSqlParser,.github/workflows/maven.yml,8,mvn -B package,JSqlParser_maven-build_java_8.csv",target/surefire-reports/,"['net.sourceforge.pmd#maven-pmd-plugin', 'org.codehaus.mojo#build-helper-maven-plugin', 'maven-compiler-plugin', 'org.javacc.plugin#javacc-maven-plugin', 'maven-eclipse-plugin', 'maven-resources-plugin', 'org.codehaus.mojo#license-maven-plugin', 'org.apache.maven.scm#maven-release-plugin', 'maven-source-plugin', 'maven-javadoc-plugin', 'org.apache.maven.plugins#maven-site-plugin', 'org.eluder.coveralls#coveralls-maven-plugin', 'org.codehaus.mojo#cobertura-maven-plugin', 'org.apache.felix#maven-bundle-plugin', 'maven-surefire-plugin', 'org.jacoco#jacoco-maven-plugin', 'com.puppycrawl.tools#maven-checkstyle-plugin', 'maven-clean-plugin', 'maven-install-plugin', 'maven-deploy-plugin']",20
"Mybatis-PageHelper,.github/workflows/pull-request.yml,8,mvn --batch-mode --update-snapshots -P dev verify,Mybatis-PageHelper_pull-request-mvnverify.csv",target/surefire-reports/,"['maven-compiler-plugin', 'maven-javadoc-plugin', 'maven-clean-plugin', 'maven-resources-plugin', 'maven-jar-plugin', 'maven-surefire-plugin', 'maven-install-plugin', 'maven-deploy-plugin', 'org.apache.maven.plugins#maven-site-plugin']",9
"UniversalMediaServer,.github/workflows/ci.yaml,17,mvn verify -P testing,UniversalMediaServer_ci.yaml-linuxbionic_java-version_17.csv",target/surefire-reports/,"['maven-enforcer-plugin', 'pl.project13.maven#git-commit-id-plugin', 'maven-compiler-plugin', 'maven-eclipse-plugin', 'maven-idea-plugin', 'org.apache.maven.plugins#maven-site-plugin', 'maven-assembly-plugin', 'maven-antrun-plugin', 'maven-clean-plugin', 'maven-resources-plugin', 'maven-jar-plugin', 'maven-surefire-plugin', 'maven-install-plugin', 'maven-deploy-plugin']",14
"UniversalMediaServer,.github/workflows/ci.yaml,17,mvn verify -P testing,UniversalMediaServer_ci.yaml-linuxfocal_java-version_17.csv",target/surefire-reports/,"['maven-enforcer-plugin', 'pl.project13.maven#git-commit-id-plugin', 'maven-compiler-plugin', 'maven-eclipse-plugin', 'maven-idea-plugin', 'org.apache.maven.plugins#maven-site-plugin', 'maven-assembly-plugin', 'maven-antrun-plugin', 'maven-clean-plugin', 'maven-resources-plugin', 'maven-jar-plugin', 'maven-surefire-plugin', 'maven-install-plugin', 'maven-deploy-plugin']",14
"fabric-sdk-java,.github/workflows/build.yml,11,mvn -B clean install -DskipITs=false -Dmaven.test.failure.ignore=false javadoc:javadoc,fabric-sdk-java_build-test_java-version_11.csv",target/surefire-reports/,"['maven-surefire-plugin', 'maven-failsafe-plugin', 'org.xolstice.maven.plugins#protobuf-maven-plugin', 'maven-compiler-plugin', 'maven-javadoc-plugin', 'maven-checkstyle-plugin', 'org.jacoco#jacoco-maven-plugin', 'maven-antrun-plugin', 'pl.project13.maven#git-commit-id-plugin', 'maven-jar-plugin', 'maven-clean-plugin', 'maven-resources-plugin', 'maven-install-plugin', 'maven-deploy-plugin', 'org.apache.maven.plugins#maven-site-plugin']",15
