Algorithms_check-build-Check-java-checkstyle,site,0,0,0,0,9
Algorithms_check-build-Test,surefire-reports,0,0,0,0,1
github-api_maven-build-test_os_ubuntu_java_11,site,0,0,0,0,1
github-api_maven-build-test_os_ubuntu_java_11,cache,0,0,0,0,10
github-api_codeql-analysis-analyze_language_java,test-classes,0,0,0,0,1
JSqlParser_maven-build_java_11,site,0,0,0,0,24
JSqlParser_maven-build_java_11,surefire-reports,0,0,0,0,4
JSqlParser_maven-build_java_8,site,0,0,0,0,24
JSqlParser_maven-build_java_8,surefire-reports,0,0,0,0,4
Mybatis-PageHelper_pull-request-mvnverify,surefire-reports,0,0,0,0,1
UniversalMediaServer_ci,surefire-reports,0,0,0,0,2
UniversalMediaServer_ci,surefire-reports,0,0,0,0,2
fabric-sdk-java_build-test_java-version_11,surefire-reports,0,0,0,0,1
fabric-sdk-java_build-test_java-version_17,surefire-reports,0,0,0,0,1
fabric-sdk-java_build-test_java-version_8,surefire-reports,0,0,0,0,1
github-api_maven-build-test_os_ubuntu_java_11,japicmp,0,0,0,0,1
github-api_maven-build-test_os_ubuntu_java_11,surefire-reports,0,0,0,0,4
github-api_maven-build-site_java_11,site,0,0,0,0,0
github-api_maven-build-test_os_ubuntu_java_17,cache,0,0,0,0,1
github-api_maven-build-test_os_ubuntu_java_17,japicmp,0,0,0,0,1
github-api_maven-build-test_os_ubuntu_java_17,site,0,0,0,0,1
github-api_maven-build-test_os_ubuntu_java_17,surefire-reports,0,0,0,0,2
github-api_maven-build-test8_os_ubuntu_java_8,cache,0,0,0,0,10
github-api_maven-build-test8_os_ubuntu_java_8,surefire-reports,0,0,0,0,2
junit4_main-buildandverify_java_11,surefire-reports,0,0,0,0,1
junit4_main-buildandverify_java_17,surefire-reports,0,0,0,0,1
junit4_main-buildandverify_java_18,surefire-reports,0,0,0,0,1
junit4_main-buildandverify_java_8,surefire-reports,0,0,0,0,1
kafdrop_pull_request-build,docker-ready,0,0,0,0,1
kafdrop_pull_request-build,surefire-reports,0,0,0,0,1
matsim-example-project_maven-build,surefire-reports,0,0,0,0,1
mcMMO_maven-compile,surefire-reports,0,0,0,0,1
mooc-software-testing_maven-build,jacoco-ut,0,0,0,0,1
mooc-software-testing_maven-build,site,0,0,0,0,1
mooc-software-testing_maven-build,surefire-reports,0,0,0,0,2
open-location-code_main-testjava_java_11,surefire-reports,0,0,0,0,1
open-location-code_main-testjava_java_16,surefire-reports,0,0,0,0,1
open-location-code_main-testjava_java_17,surefire-reports,0,0,0,0,1
open-location-code_main-testjava_java_8,surefire-reports,0,0,0,0,1
pipelines-java_codeql-analysis-analyze_language_java,test-classes,0,0,0,0,0
socket,surefire-reports,0,0,0,0,1
socket,surefire-reports,0,0,0,0,1
socket,surefire-reports,0,0,0,0,1
soot_ci-BuildAndTest_java_version_11,surefire-reports,0,0,1,0,2
soot_ci-BuildAndTest_java_version_8,surefire-reports,0,0,1,0,2
soot_ci-BuildAndTest_java_version_9,surefire-reports,0,0,1,0,2
spring-framework-petclinic_maven-build-build,site,0,0,0,0,8
spring-framework-petclinic_maven-build-build,surefire-reports,0,0,0,0,1
spring-framework-petclinic_maven-build-build,.wro4j,0,0,0,0,1
spring-petclinic-rest_maven-build-build,site,0,0,5,0,1
spring-petclinic-rest_maven-build-build,surefire-reports,0,0,1,0,1
symphony_ci-build,symphony,13,0,0,0,0
symphony_ci-build,test-classes,14,0,0,0,0
