FROM STATIC=>target/.wro4j/,spring-framework-petclinic_maven-build-build.csv,.github/workflows/maven-build.yml,target/.wro4j/,ro.isdc.wro4j#wro4j-maven-plugin,1
FROM STATIC=>target/cache/,github-api_maven-build-test_os_ubuntu_java_17.csv,.github/workflows/maven-build.yml,target/cache/,maven-site-plugin#,1
FROM STATIC=>target/docker-ready/,kafdrop_pull_request-build.csv,.github/workflows/pull_request.yml,target/docker-ready/,maven-resources-plugin#,1
FROM STATIC=>target/jacoco-ut/,mooc-software-testing_maven-build.csv,.github/workflows/maven.yml,target/jacoco-ut/,org.jacoco#jacoco-maven-plugin,1
FROM STATIC=>target/japicmp/,github-api_maven-build-test_os_ubuntu_java_11.csv,.github/workflows/maven-build.yml,target/japicmp/,com.github.siom79.japicmp#japicmp-maven-plugin,1
FROM STATIC=>target/japicmp/,github-api_maven-build-test_os_ubuntu_java_17.csv,.github/workflows/maven-build.yml,target/japicmp/,com.github.siom79.japicmp#japicmp-maven-plugin,1
FROM STATIC=>target/site/,github-api_maven-build-site_java_11.csv,.github/workflows/maven-build.yml,target/site/,maven-site-plugin#,1
FROM STATIC=>target/site/,github-api_maven-build-test_os_ubuntu_java_11.csv,.github/workflows/maven-build.yml,target/site/,maven-site-plugin#,1
FROM STATIC=>target/site/,github-api_maven-build-test_os_ubuntu_java_17.csv,.github/workflows/maven-build.yml,target/site/,maven-site-plugin#,1
FROM STATIC=>target/site/,mooc-software-testing_maven-build.csv,.github/workflows/maven.yml,target/site/,maven-site-plugin#,1
FROM STATIC=>target/surefire-reports/,Algorithms_check-build-Test.csv,.github/workflows/check.yml,target/surefire-reports/,maven-surefire-plugin#,1
FROM STATIC=>target/surefire-reports/,JSqlParser_maven-build_java_11.csv,.github/workflows/maven.yml,target/surefire-reports/,maven-surefire-plugin#,4
FROM STATIC=>target/surefire-reports/,JSqlParser_maven-build_java_8.csv,.github/workflows/maven.yml,target/surefire-reports/,maven-surefire-plugin#,4
FROM STATIC=>target/surefire-reports/,Mybatis-PageHelper_pull-request-mvnverify.csv,.github/workflows/pull-request.yml,target/surefire-reports/,maven-surefire-plugin#,1
FROM STATIC=>target/surefire-reports/,UniversalMediaServer_ci.yaml-linuxbionic_java-version_17.csv,.github/workflows/ci.yaml,target/surefire-reports/,maven-surefire-plugin#,2
FROM STATIC=>target/surefire-reports/,UniversalMediaServer_ci.yaml-linuxfocal_java-version_17.csv,.github/workflows/ci.yaml,target/surefire-reports/,maven-surefire-plugin#,2
